claveempleado,dia,horario,idasignatura,idgrado,asignaturalab,seccion,semestre,nombre_materia
8951,1,9,156,2,0,10,3,Los seres vivos y su diversidad
8951,2,11,156,2,0,13,3,Los seres vivos y su diversidad
8951,2,12,156,2,0,13,3,Los seres vivos y su diversidad
8951,3,9,156,2,0,14,3,Los seres vivos y su diversidad
8951,3,10,156,2,0,14,3,Los seres vivos y su diversidad
8951,3,11,156,2,0,13,3,Los seres vivos y su diversidad
8951,3,15,156,2,0,10,3,Los seres vivos y su diversidad
8951,3,16,156,2,0,10,3,Los seres vivos y su diversidad
8951,4,11,156,2,0,13,3,Los seres vivos y su diversidad
8951,4,12,156,2,0,13,3,Los seres vivos y su diversidad
8951,4,13,156,2,0,10,3,Los seres vivos y su diversidad
8951,4,14,156,2,0,10,3,Los seres vivos y su diversidad
8951,5,14,156,2,0,14,3,Los seres vivos y su diversidad
8951,5,15,156,2,0,14,3,Los seres vivos y su diversidad
8951,5,16,156,2,0,14,3,Los seres vivos y su diversidad
8988,1,11,159,2,0,4,3,Beneficios de las actividades físico deportivas y artisticas
8988,1,12,159,2,0,4,3,Beneficios de las actividades físico deportivas y artisticas
8988,2,9,159,2,0,17,3,Beneficios de las actividades físico deportivas y artisticas
8988,2,10,159,2,0,17,3,Beneficios de las actividades físico deportivas y artisticas
8988,3,9,159,2,0,11,3,Beneficios de las actividades físico deportivas y artisticas
8988,3,10,159,2,0,11,3,Beneficios de las actividades físico deportivas y artisticas
8988,3,13,159,2,0,18,3,Beneficios de las actividades físico deportivas y artisticas
8988,3,14,159,2,0,18,3,Beneficios de las actividades físico deportivas y artisticas
8989,1,2,98,1,0,14,1,Responsabilidad Social Universitaria
8989,1,3,98,1,0,4,1,Responsabilidad Social Universitaria
8989,1,4,98,1,0,4,1,Responsabilidad Social Universitaria
8989,1,7,98,1,0,5,1,Responsabilidad Social Universitaria
8989,1,8,98,1,0,6,1,Responsabilidad Social Universitaria
8989,2,1,98,1,0,12,1,Responsabilidad Social Universitaria
8989,2,2,98,1,0,12,1,Responsabilidad Social Universitaria
8989,2,3,98,1,0,20,1,Responsabilidad Social Universitaria
8989,2,4,98,1,0,20,1,Responsabilidad Social Universitaria
8989,2,5,98,1,0,3,1,Responsabilidad Social Universitaria
8989,2,6,98,1,0,3,1,Responsabilidad Social Universitaria
8989,2,7,98,1,0,4,1,Responsabilidad Social Universitaria
8989,3,3,98,1,0,1,1,Responsabilidad Social Universitaria
8989,3,4,98,1,0,1,1,Responsabilidad Social Universitaria
8989,3,5,98,1,0,13,1,Responsabilidad Social Universitaria
8989,3,6,98,1,0,13,1,Responsabilidad Social Universitaria
8989,3,7,98,1,0,2,1,Responsabilidad Social Universitaria
8989,4,1,98,1,0,14,1,Responsabilidad Social Universitaria
8989,4,2,98,1,0,14,1,Responsabilidad Social Universitaria
8989,4,3,98,1,0,12,1,Responsabilidad Social Universitaria
8989,4,4,98,1,0,10,1,Responsabilidad Social Universitaria
8989,4,5,98,1,0,2,1,Responsabilidad Social Universitaria
8989,4,6,98,1,0,2,1,Responsabilidad Social Universitaria
8989,4,7,98,1,0,3,1,Responsabilidad Social Universitaria
8989,4,8,98,1,0,13,1,Responsabilidad Social Universitaria
8989,5,1,98,1,0,5,1,Responsabilidad Social Universitaria
8989,5,2,98,1,0,5,1,Responsabilidad Social Universitaria
8989,5,3,98,1,0,10,1,Responsabilidad Social Universitaria
8989,5,4,98,1,0,10,1,Responsabilidad Social Universitaria
8989,5,5,98,1,0,6,1,Responsabilidad Social Universitaria
8989,5,6,98,1,0,6,1,Responsabilidad Social Universitaria
8989,5,7,98,1,0,1,1,Responsabilidad Social Universitaria
8989,5,8,98,1,0,20,1,Responsabilidad Social Universitaria
8990,1,1,96,1,0,30,1,Química en la Vida Cotidiana
8990,1,2,96,1,0,30,1,Química en la Vida Cotidiana
8990,1,3,96,1,0,31,1,Química en la Vida Cotidiana
